Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
1,20241124182137,0.0,3.0,l,No,0.00-3.00
1,20250108121135,3.0,4.775833333333333,u,No,0.00-6.33
1,20250108121135,4.775833333333333,6.333333333333333,u,No,0.00-6.33
1,20241204050050,6.333333333333333,7.322777777777778,l,No,0.17-11.25
1,20241204050050,7.322777777777778,8.312222222222221,l,No,0.17-11.25
1,20241204050050,8.312222222222221,9.301666666666666,l,No,0.17-11.25
1,20241204050050,9.301666666666666,10.29111111111111,l,No,0.17-11.25
1,20241204050050,10.29111111111111,11.25,l,No,0.17-11.25
1,20241203234118,11.25,12.166666666666666,l,No,0.50-12.17
1,20250303131128,12.166666666666666,14.5,l,No,1.50-14.50
1,20241202070404,14.5,15.50388888888889,l,No,10.48-16.35
1,20241202070404,15.50388888888889,16.35,l,No,10.48-16.35
1,20241203212334,16.35,17.33777777777778,l,No,11.58-19.75
1,20241203212334,17.33777777777778,18.32555555555556,l,No,11.58-19.75
1,20241203212334,18.32555555555556,19.31333333333334,l,No,11.58-19.75
1,20241203212334,19.31333333333334,19.75,l,No,11.58-19.75
1,20241203221049,19.75,20.666666666666668,l,No,11.67-20.67
1,20250130234420,20.666666666666668,21.706666666666667,u,No,12.00-22.00
1,20250130234420,21.706666666666667,22.0,u,No,12.00-22.00
1,20250123182908,23.333333333333332,23.833333333333332,l,No,15.00-23.83
2,20250108111036,0.0,1.8480555555555556,l,No,0.00-6.33
2,20250108111036,1.8480555555555556,3.696111111111111,l,No,0.00-6.33
2,20250108111036,3.696111111111111,5.5441666666666665,l,No,0.00-6.33
2,20250108111036,5.5441666666666665,6.333333333333333,l,No,0.00-6.33
2,20241203203848,6.333333333333333,7.314444444444444,l,No,0.75-10.58
2,20241203203848,7.314444444444444,8.295555555555556,l,No,0.75-10.58
2,20241203203848,8.295555555555556,9.276666666666667,l,No,0.75-10.58
2,20241203203848,9.276666666666667,10.257777777777779,l,No,0.75-10.58
2,20241203203848,10.257777777777779,10.583333333333334,l,No,0.75-10.58
2,20241204054601,10.583333333333334,11.0,l,No,0.75-11.00
2,20241203231125,11.0,11.976666666666667,l,No,1.00-12.17
2,20241203231125,11.976666666666667,12.166666666666666,l,No,1.00-12.17
2,20241204045427,12.166666666666666,12.25,l,No,1.58-12.25
2,20240708141151,12.25,13.5,l,No,6.75-13.50
2,20250206212710,13.5,16.25,l,No,10.50-16.25
2,20241203220043,16.25,17.226111111111113,l,No,11.67-19.50
2,20241203220043,17.226111111111113,18.202222222222225,l,No,11.67-19.50
2,20241203220043,18.202222222222225,19.178333333333338,l,No,11.67-19.50
2,20241203220043,19.178333333333338,19.5,l,No,11.67-19.50
2,20241203233108,19.5,19.916666666666668,l,No,11.68-19.92
2,20241204051444,19.916666666666668,20.0,l,No,11.83-20.00
2,20250130233548,20.0,21.036666666666665,u,No,12.00-22.00
2,20250130233548,21.036666666666665,22.0,u,No,12.00-22.00
2,(Gap),23.8,23.833333333333332,,,
3,(Gap),0.0,0.25,,,
3,20241203211212,0.25,1.25,l,No,0.25-1.25
3,20241124210923,1.25,2.1666666666666665,l,No,0.33-2.17
3,20250116173308,2.1666666666666665,6.0,l,No,0.50-6.00
3,20241204051056,6.0,6.984444444444445,l,No,0.83-9.67
3,20241204051056,6.984444444444445,7.968888888888889,l,No,0.83-9.67
3,20241204051056,7.968888888888889,8.953333333333333,l,No,0.83-9.67
3,20241204051056,8.953333333333333,9.666666666666666,l,No,0.83-9.67
3,20241209205604,9.666666666666666,10.698333333333332,l,No,2.17-11.50
3,20241209205604,10.698333333333332,11.5,l,No,2.17-11.50
3,20241204043403,11.5,12.166666666666666,l,No,3.00-12.17
3,20250129031402,12.166666666666666,13.5,l,No,6.75-13.50
3,20241203023707,13.5,16.109444444444446,s,No,10.50-16.25
3,20241203023707,16.109444444444446,16.25,s,No,10.50-16.25
3,20241204052907,16.25,17.22861111111111,l,No,11.75-18.83
3,20241204052907,17.22861111111111,18.20722222222222,l,No,11.75-18.83
3,20241204052907,18.20722222222222,18.833333333333332,l,No,11.75-18.83
3,20250307141547,18.833333333333332,19.0,s,No,12.00-19.00
3,20250130233556,19.0,20.03527777777778,l,No,12.50-22.00
3,20250130233556,20.03527777777778,21.070555555555558,l,No,12.50-22.00
3,20250130233556,21.070555555555558,22.0,l,No,12.50-22.00
3,(Gap),23.8,23.833333333333332,,,
4,(Gap),0.0,0.5,,,
4,20250206220347,1.5,3.75,l,No,0.60-3.75
4,20241120212805,3.75,5.083333333333333,l,No,0.78-5.08
4,20241203205410,7.816666666666666,8.800555555555555,l,No,2.22-11.42
4,20241203205410,8.800555555555555,9.784444444444443,l,No,2.22-11.42
4,20241203205410,9.784444444444443,10.76833333333333,l,No,2.22-11.42
4,20241203205410,10.76833333333333,11.416666666666666,l,No,2.22-11.42
4,20241204053425,11.416666666666666,12.0,l,No,3.00-12.00
4,20241204055157,12.0,12.166666666666666,l,No,5.08-12.17
4,20241125090318,12.166666666666666,13.5,l,No,6.75-13.50
4,20241203021520,13.5,16.0925,l,No,10.50-16.25
4,20241203021520,16.0925,16.25,l,No,10.50-16.25
4,20250203212700,16.25,17.301111111111112,s,No,12.00-19.00
4,20250203212700,17.301111111111112,18.352222222222224,s,No,12.00-19.00
4,20250203212700,18.352222222222224,19.0,s,No,12.00-19.00
4,20250130234331,19.0,20.039166666666667,s,No,12.50-22.00
4,20250130234331,20.039166666666667,21.078333333333333,s,No,12.50-22.00
4,20250130234331,21.078333333333333,22.0,s,No,12.50-22.00
4,(Gap),23.8,23.833333333333332,,,
5,(Gap),0.0,0.5,,,
5,20250130132337,1.5,2.5,s,No,1.08-2.50
5,20241204042031,7.816666666666666,8.790555555555555,l,No,2.25-11.42
5,20241204042031,8.790555555555555,9.764444444444443,l,No,2.25-11.42
5,20241204042031,9.764444444444443,10.738333333333332,l,No,2.25-11.42
5,20241204042031,10.738333333333332,11.416666666666666,l,No,2.25-11.42
5,20241204050853,11.416666666666666,12.0,l,No,5.17-12.00
5,20241204052418,12.0,12.166666666666666,l,No,5.33-12.17
5,20250206221404,12.166666666666666,12.333333333333334,l,No,7.75-12.33
5,20241206140303,12.333333333333334,12.5,s,No,10.50-12.50
5,20250206210713,12.5,13.5,l,No,10.50-13.50
5,20241208161730,13.5,14.0,l,No,10.50-14.00
5,20241120095739,14.0,14.75,l,No,10.67-14.75
5,20250116184555,14.75,15.166666666666666,l,No,10.75-15.17
5,20250211161559,15.166666666666666,15.25,s,No,11.67-15.25
5,20250309191017,15.25,16.5375,u,No,12.00-17.50
5,20250309191017,16.5375,17.5,u,No,12.00-17.50
5,20250307152024,17.5,18.538055555555555,l,No,12.00-19.00
5,20250307152024,18.538055555555555,19.0,l,No,12.00-19.00
5,20250130234625,19.0,20.035,l,No,12.50-22.00
5,20250130234625,20.035,21.07,l,No,12.50-22.00
5,20250130234625,21.07,22.0,l,No,12.50-22.00
5,20250217121114,23.5,23.75,l,No,20.50-23.75
5,(Gap),23.75,23.833333333333332,,,
6,(Gap),0.0,0.5,,,
6,20250201223634,1.5,2.1666666666666665,u,No,1.17-2.17
6,20241203212553,2.1666666666666665,2.25,l,No,1.25-2.25
6,20241203234540,7.816666666666666,8.79111111111111,l,No,2.67-11.42
6,20241203234540,8.79111111111111,9.765555555555554,l,No,2.67-11.42
6,20241203234540,9.765555555555554,10.739999999999998,l,No,2.67-11.42
6,20241203234540,10.739999999999998,11.416666666666666,l,No,2.67-11.42
6,20241204052632,11.416666666666666,12.083333333333334,l,No,5.58-12.08
6,20241204044349,12.083333333333334,12.166666666666666,l,No,5.83-12.17
6,20241208155753,12.166666666666666,12.25,l,No,9.50-12.25
6,20250206221448,12.25,13.333333333333334,l,No,10.67-13.33
6,20250218120245,13.333333333333334,15.0,l,Yes,11.00-15.00
