Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
1,20250404091809,DelayCal,0.0,0.0,0.25,l,No,,0.25
1,20250404091809,20241203205350,0.0,0.25,7.788611111111111,l,No,23.08-1.75,7.538611111111111
1,20250404170528,DelayCal,7.788611111111111,7.788611111111111,8.038611111111111,l,Yes,,0.25
1,20250404170528,20250113171301,7.788611111111111,8.038611111111111,15.865,l,Yes,8.00-9.00,7.826388888888889
1,20250405011003,DelayCal,15.865,15.865,16.115000000000002,l,No,,0.25
1,20250405011003,20250123182908,15.865,16.115000000000002,23.60638888888889,l,No,15.00-23.83,7.491388888888889
2,20250405092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
2,20250405092432,20250123183320,0.10638888888889042,0.3563888888888904,7.720555555555557,l,No,20.00-3.00,7.364166666666667
2,20250405170123,DelayCal,7.720555555555557,7.720555555555557,7.970555555555557,l,No,,0.25
2,20250405170123,20241126070632,7.720555555555557,7.970555555555557,15.483333333333334,l,No,6.08-8.00,7.512777777777778
2,20250406004709,DelayCal,15.483333333333334,15.483333333333334,15.733333333333334,l,No,,0.25
2,20250406004709,20241216114915,15.483333333333334,15.733333333333334,22.108055555555556,l,No,15.50-17.50,6.374722222222222
2,20250406072438,DelayCal,22.108055555555556,22.108055555555556,22.358055555555556,l,No,,0.25
2,20250406072438,20241120195857,22.108055555555556,22.358055555555556,0.10638888888889042,l,No,22.33-2.83,1.748333333333334
3,20250406092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
3,20250406092432,20250123164026,0.10638888888889042,0.3563888888888904,7.6175000000000015,l,No,20.00-2.00,7.261111111111111
3,20250406165512,DelayCal,7.6175000000000015,7.6175000000000015,7.8675000000000015,l,No,,0.25
3,20250406165512,20241124192740,7.6175000000000015,7.8675000000000015,15.228333333333335,l,No,6.75-8.00,7.360833333333333
3,20250407003151,DelayCal,15.228333333333335,15.228333333333335,15.478333333333335,u,No,,0.25
3,20250407003151,20250103145047,15.228333333333335,15.478333333333335,21.64277777777778,u,No,13.67-17.50,6.164444444444444
3,20250407065643,DelayCal,21.64277777777778,21.64277777777778,21.89277777777778,l,No,,0.25
3,20250407065643,20241203211146,21.64277777777778,21.89277777777778,0.10638888888889042,l,No,21.83-22.33,2.2136111111111108
4,20250407092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
4,20250407092432,20250303082916,0.10638888888889042,0.3563888888888904,7.38888888888889,l,No,23.00-7.00,7.0325
4,20250407164129,DelayCal,7.38888888888889,7.38888888888889,7.63888888888889,l,No,,0.25
4,20250407164129,20250123162715,7.38888888888889,7.63888888888889,14.229722222222223,l,No,7.25-12.00,6.590833333333333
4,20250407233156,DelayCal,14.229722222222223,14.229722222222223,14.479722222222223,l,No,,0.25
4,20250407233156,20241120095739,14.229722222222223,14.479722222222223,0.10638888888889397,l,No,10.67-14.75,9.626666666666669
5,20250408092432,DelayCal,0.10638888888889397,0.10638888888889397,0.356388888888894,l,No,,0.25
5,20250408092432,20250116182651,0.10638888888889397,0.356388888888894,5.773055555555561,l,No,20.00-2.50,5.416666666666667
