Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
1,20250108121135,0.0,1.7758333333333334,u,No,0.00-6.33
1,20250108121135,1.7758333333333334,3.5516666666666667,u,No,0.00-6.33
1,20250108121135,3.5516666666666667,5.327500000000001,u,No,0.00-6.33
1,20250108121135,5.327500000000001,7.1033333333333335,u,No,0.00-6.33
1,20241204050050,7.1033333333333335,8.092777777777778,l,No,0.17-11.25
1,20241204050050,8.092777777777778,9.082222222222223,l,No,0.17-11.25
1,20241204050050,9.082222222222223,10.071666666666667,l,No,0.17-11.25
1,20241204050050,10.071666666666667,11.061111111111112,l,No,0.17-11.25
1,20241204050050,11.061111111111112,12.050555555555556,l,No,0.17-11.25
1,20241203234118,12.050555555555556,13.033611111111112,l,No,0.50-12.17
1,20250303131128,13.033611111111112,19.192777777777778,l,No,1.50-14.50
1,20241203212334,19.192777777777778,20.180555555555557,l,No,11.58-19.75
1,20241203221049,20.180555555555557,21.153333333333336,l,No,11.67-20.67
1,20250130234420,21.153333333333336,22.193333333333335,u,No,12.00-22.00
1,20241203232000,22.193333333333335,23.156111111111112,l,No,13.00-2.00
1,20241203232000,23.156111111111112,23.999999999999996,l,No,13.00-2.00
2,20250123165119,23.999999999999996,1.9016666666666637,l,No,14.00-0.33
2,20250108111036,1.9016666666666637,3.7497222222222195,l,No,0.00-6.33
2,20250108111036,3.7497222222222195,5.597777777777775,l,No,0.00-6.33
2,20250108111036,5.597777777777775,7.445833333333331,l,No,0.00-6.33
2,20241203203848,7.445833333333331,8.426944444444443,l,No,0.75-10.58
2,20241203203848,8.426944444444443,9.408055555555555,l,No,0.75-10.58
2,20241203203848,9.408055555555555,10.389166666666666,l,No,0.75-10.58
2,20241203203848,10.389166666666666,11.370277777777778,l,No,0.75-10.58
2,20241203231125,11.370277777777778,12.346944444444444,l,No,1.00-12.17
2,20240708141151,12.346944444444444,16.418333333333333,l,No,6.75-13.50
2,20241203220043,16.418333333333333,17.394444444444446,l,No,11.67-19.50
2,20241203220043,17.394444444444446,18.37055555555556,l,No,11.67-19.50
2,20241203220043,18.37055555555556,19.34666666666667,l,No,11.67-19.50
2,20241203220043,19.34666666666667,20.322777777777784,l,No,11.67-19.50
2,20250130233548,20.322777777777784,21.35944444444445,u,No,12.00-22.00
2,20250130233548,21.35944444444445,22.396111111111114,u,No,12.00-22.00
2,20250123165119,22.396111111111114,7.105427357601002e-15,l,No,14.00-0.33
3,20241204045619,7.105427357601002e-15,1.0008333333333403,l,No,14.67-1.42
3,20241203211212,1.0008333333333403,4.932222222222229,l,No,0.25-1.25
3,20250116173308,4.932222222222229,10.431666666666674,l,No,0.50-6.00
3,20241204054601,10.431666666666674,11.400555555555563,l,No,0.75-11.00
3,20241204045427,11.400555555555563,12.381944444444452,l,No,1.58-12.25
3,20250129031402,12.381944444444452,16.46611111111112,l,No,6.75-13.50
3,20241203233108,16.46611111111112,17.44861111111112,l,No,11.68-19.92
3,20241203233108,17.44861111111112,18.43111111111112,l,No,11.68-19.92
3,20241203233108,18.43111111111112,19.413611111111123,l,No,11.68-19.92
3,20241203233108,19.413611111111123,20.396111111111125,l,No,11.68-19.92
3,20250130233556,20.396111111111125,21.431388888888904,l,No,12.50-22.00
3,20250130233556,21.431388888888904,22.466666666666683,l,No,12.50-22.00
3,20241204045619,22.466666666666683,23.467500000000015,l,No,14.67-1.42
3,20241204045619,23.467500000000015,1.4210854715202004e-14,l,No,14.67-1.42
4,20250302215322,1.4210854715202004e-14,1.2894444444444586,u,No,19.00-2.00
4,20250206220347,1.2894444444444586,4.93416666666668,l,No,0.60-3.75
4,20241120212805,4.93416666666668,7.892777777777791,l,No,0.78-5.08
4,20241204051056,7.892777777777791,8.877222222222235,l,No,0.83-9.67
4,20241204051056,8.877222222222235,9.861666666666679,l,No,0.83-9.67
4,20241209205604,9.861666666666679,10.893333333333345,l,No,2.17-11.50
4,20241209205604,10.893333333333345,11.925000000000011,l,No,2.17-11.50
4,20241204043403,11.925000000000011,12.9063888888889,l,No,3.00-12.17
4,20241125090318,12.9063888888889,16.989166666666677,l,No,6.75-13.50
4,20241204052907,16.989166666666677,17.967777777777787,l,No,11.75-18.83
4,20241204052907,17.967777777777787,18.946388888888897,l,No,11.75-18.83
4,20241204051444,18.946388888888897,19.921944444444453,l,No,11.83-20.00
4,20241204051444,19.921944444444453,20.897500000000008,l,No,11.83-20.00
4,20250130234331,20.897500000000008,21.936666666666675,s,No,12.50-22.00
4,20250130234331,21.936666666666675,22.97583333333334,s,No,12.50-22.00
4,20250123182908,22.97583333333334,1.0658141036401503e-14,l,No,15.00-23.83
5,20250123182908,1.0658141036401503e-14,6.4672222222222295,l,No,0.00-23.83
5,20250225154720,6.4672222222222295,11.891944444444452,l,No,1.58-7.00
5,20241204053425,11.891944444444452,12.865277777777784,l,No,3.00-12.00
5,20241202070404,12.865277777777784,13.869166666666674,l,No,10.48-16.35
5,20241202070404,13.869166666666674,14.873055555555563,l,No,10.48-16.35
5,20241202070404,14.873055555555563,15.876944444444453,l,No,10.48-16.35
5,20241202070404,15.876944444444453,16.880833333333342,l,No,10.48-16.35
5,20250307141547,16.880833333333342,17.918888888888898,s,No,12.00-19.00
5,20250307141547,17.918888888888898,18.956944444444453,s,No,12.00-19.00
5,20250307141547,18.956944444444453,19.995000000000008,s,No,12.00-19.00
5,20250130234625,19.995000000000008,21.03000000000001,l,No,12.50-22.00
5,20250130234625,21.03000000000001,22.06500000000001,l,No,12.50-22.00
5,20250123182908,22.06500000000001,1.0658141036401503e-14,l,No,0.00-23.83
6,20250108094545,1.0658141036401503e-14,1.053333333333344,l,No,19.00-2.00
6,20250108094545,1.053333333333344,2.106666666666677,l,No,19.00-2.00
6,20250130132337,2.106666666666677,5.944722222222232,s,No,1.08-2.50
6,20250212222826,5.944722222222232,10.74500000000001,s,No,1.50-6.25
6,20241203205410,10.74500000000001,11.728888888888898,l,No,2.22-11.42
6,20241204055157,11.728888888888898,12.728611111111121,l,No,5.08-12.17
6,20250206212710,12.728611111111121,15.689166666666676,l,No,10.50-16.25
6,20241203023707,15.689166666666676,18.29861111111112,s,No,10.50-16.25
