Day,ID,Proposal ID,Description,UTC,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
1,DelayCal,SCI-20241101-JC-02,Build and DelayCal,2026-02-18T13:10:14.997614,0.5,0.75,l,n/a,,0.25
1,20241203205350,SCI-20241101-JC-02,PKS0349-27,2026-02-18T13:25:14.997614,0.75,8.288611111111111,l,No,23.08-1.75,7.538611111111111
1,DelayCal,SCI-20241101-LG-01,Build and DelayCal,2026-02-18T20:57:33.997614,8.288611111111111,8.538611111111111,l,n/a,,0.25
1,20241216080641,SCI-20241101-LG-01,HI observations of the Shapley Supercluster Core - Field 3,2026-02-18T21:12:33.997614,8.538611111111111,17.11611111111111,l,Yes,8.17-10.25,8.5775
1,DelayCal,SCI-20241101-HK-01,Build and DelayCal,2026-02-19T05:47:12.997614,17.11611111111111,17.36611111111111,l,n/a,,0.25
1,20241126043745,SCI-20241101-HK-01,"Observations of an extremely metal-poor galaxy, J2136+0414, OB2 (on source 20200s)",2026-02-19T06:02:12.997614,17.36611111111111,0.0,l,No,17.00-19.25,6.6338888888888885
2,DelayCal,SCI-20241101-KO-01,Build and DelayCal,2026-02-19T12:40:14.997614,0.0,0.25,l,n/a,,0.25
2,20250123183320,SCI-20241101-KO-01,"SPT-SV J0220, SPT-SV J0247, SPT-SV J0117, SPT-SV J0213, SPT-SV J0236, SPT-SV J0222, SPT-SV J2328, SPT-SV J0239",2026-02-19T12:55:14.997614,0.25,7.614166666666667,l,No,20.00-3.00,7.364166666666667
2,DelayCal,SCI-20241101-HK-01,Build and DelayCal,2026-02-19T20:17:05.997614,7.614166666666667,7.864166666666667,l,n/a,,0.25
2,20241126070632,SCI-20241101-HK-01,"Observations of an extremely metal-poor galaxy, J1044+0353, OB1 (on source 22000s)  ",2026-02-19T20:32:05.997614,7.864166666666667,15.376944444444444,l,No,6.08-8.00,7.512777777777778
2,DelayCal,SCI-20241101-KO-01,Build and DelayCal,2026-02-20T04:02:51.997614,15.376944444444444,15.626944444444444,l,n/a,,0.25
2,20250123182908,SCI-20241101-KO-01,"SPT-SV J2108, SPT-SV J2135, SPT-SV J0041, SPT-SV J0014, SPT-SV J0144, SPT-SV J0027, SPT-SV J0042, SPT-SV J2320",2026-02-20T04:17:51.997614,15.626944444444444,23.118333333333332,l,No,15.00-23.83,7.491388888888889
2,DelayCal,SCI-20241103-MH-01,Build and DelayCal,2026-02-20T11:47:20.997614,23.118333333333332,23.368333333333332,l,n/a,,0.25
2,20250217151420,SCI-20241103-MH-01,J0204.3-1918 high-z,2026-02-20T12:02:20.997614,23.368333333333332,0.0,l,No,23.00-3.00,0.6316666666666668
3,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-20T12:40:14.997614,0.0,0.25,l,n/a,,0.25
3,20250123164026,SCI-20241101-KO-02,"2MASS J0253, WISEPA J2313, APMPM J0452, WISEA J03422, beta Pic b, LP 714-37 B, 2MASSI J0429, 2MASS J04305",2026-02-20T12:55:14.997614,0.25,7.511111111111111,l,No,20.00-2.00,7.261111111111111
3,DelayCal,SCI-20241101-MB-01,Build and DelayCal,2026-02-20T20:10:54.997614,7.511111111111111,7.761111111111111,l,n/a,,0.25
3,20241124192740,SCI-20241101-MB-01,CHEX-MATE South Clusters - III: Schedule PSZ2G284.41+52.45 (1),2026-02-20T20:25:54.997614,7.761111111111111,15.121944444444445,l,No,6.75-8.00,7.360833333333333
3,DelayCal,SCI-20241101-KE-01,Build and DelayCal,2026-02-21T03:47:33.997614,15.121944444444445,15.371944444444445,u,n/a,,0.25
3,20250103145047,SCI-20241101-KE-01,W43 UHF RRLs - track 2 repeat,2026-02-21T04:02:33.997614,15.371944444444445,21.53638888888889,u,No,13.67-17.50,6.164444444444444
3,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-21T10:12:25.997614,21.53638888888889,21.78638888888889,l,n/a,,0.25
3,20250116182651,SCI-20241101-KO-02,"2MASS J01265, 2MASS J01225, 2MASS J02441, SSSPM J0306, 2MASS J03101, GJ 1048B",2026-02-21T10:27:25.997614,21.78638888888889,0.0,l,No,20.00-2.50,2.2136111111111108
4,DelayCal,SCI-20241103-XL-01,Build and DelayCal,2026-02-21T12:40:14.997614,0.0,0.25,l,n/a,,0.25
4,20250303082916,SCI-20241103-XL-01,HI Observations of Very High Velocity Cloud G165,2026-02-21T12:55:14.997614,0.25,7.2825,l,No,23.00-7.00,7.0325
4,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-21T19:57:11.997614,7.2825,7.5325,l,n/a,,0.25
4,20250123162715,SCI-20241101-KO-02,"2MASS J09342, 2MASS J09522, 2MASS J10031, Gaia J115925, NLTT 28453, SIPS J1259, WISEA J1540",2026-02-21T20:12:11.997614,7.5325,14.123333333333333,l,No,7.25-12.00,6.590833333333333
4,DelayCal,SCI-20241101-KR-02,Build and DelayCal,2026-02-22T02:47:38.997614,14.123333333333333,14.373333333333333,l,n/a,,0.25
4,20241120095739,SCI-20241101-KR-02,10 hr Observation Plan for ASKAP J1745 (original),2026-02-22T03:02:38.997614,14.373333333333333,0.0,l,No,10.67-14.75,9.626666666666669
5,DelayCal,SCI-20241101-EO-01,Build and DelayCal,2026-02-22T12:40:14.997614,0.0,0.25,l,n/a,,0.25
5,20241120195857,SCI-20241101-EO-01,The self-similarity of cluster Bfields - Target6 - Abell 3266 merger - 5hours,2026-02-22T12:55:14.997614,0.25,6.603611111111111,l,No,22.33-2.83,6.353611111111111
5,DelayCal,SCI-20241101-JC-02,Build and DelayCal,2026-02-22T19:16:27.997614,6.603611111111111,6.853611111111111,l,n/a,,0.25
5,20241203210018,SCI-20241101-JC-02,PKS0945+07,2026-02-22T19:31:27.997614,6.853611111111111,14.390555555555554,l,No,5.42-7.00,7.536944444444444
5,DelayCal,SCI-20241102-MG-01,Build and DelayCal,2026-02-23T03:03:40.997614,14.390555555555554,14.640555555555554,l,n/a,,0.25
5,20241216115201,SCI-20241102-MG-01,Observations of atomic hydrogen  in the interacting system ESO179-013 (transit),2026-02-23T03:18:40.997614,14.640555555555554,21.03333333333333,l,No,12.50-15.00,6.392777777777778
5,DelayCal,SCI-20241101-KR-01,Build and DelayCal,2026-02-23T09:42:14.997614,21.03333333333333,21.28333333333333,l,n/a,,0.25
5,20241120160021,SCI-20241101-KR-01,Stephan's Quintet run 1,2026-02-23T09:57:14.997614,21.28333333333333,0.0,l,No,20.55-21.50,2.7166666666666677
6,DelayCal,SCI-20241102-MR-01,Build and DelayCal,2026-02-23T12:40:14.997614,0.0,0.25,l,n/a,,0.25
6,20241207180321,SCI-20241102-MR-01,MeerKAT observation of ORC5 Obs2,2026-02-23T12:55:14.997614,0.25,5.464444444444444,l,No,19.50-1.00,5.214444444444444
6,DelayCal,SCI-20241103-SK-01,Build and DelayCal,2026-02-23T18:08:06.997614,5.464444444444444,5.714444444444444,l,n/a,,0.25
6,20250303131128,SCI-20241103-SK-01,Extremely Metal Poor Dwarf Galaxies,2026-02-23T18:23:06.997614,5.714444444444444,11.87361111111111,l,No,1.50-14.50,6.159166666666667
6,DelayCal,SCI-20241101-MT-01,Build and DelayCal,2026-02-24T00:32:39.997614,11.87361111111111,12.12361111111111,s,n/a,,0.25
6,20241206140303,SCI-20241101-MT-01,Filament observations,2026-02-24T00:47:39.997614,12.12361111111111,21.10361111111111,s,No,10.50-12.50,8.98
6,DelayCal,SCI-20241101-KR-01,Build and DelayCal,2026-02-24T09:46:27.997614,21.10361111111111,21.35361111111111,l,n/a,,0.25
6,20241121194640,SCI-20241101-KR-01,Stephan's Quintet run 2,2026-02-24T10:01:27.997614,21.35361111111111,23.999999999999996,l,No,20.50-21.50,2.646388888888886
7,DelayCal,SCI-20241102-MR-01,Build and DelayCal,2026-02-24T12:40:14.997614,0.0,0.25,l,n/a,,0.25
7,20241230104805,SCI-20241102-MR-01,MeerKAT observation of ORC5 Obs1,2026-02-24T12:55:14.997614,0.25,5.444166666666667,l,No,19.50-1.00,5.194166666666667
7,DelayCal,SCI-20241101-HK-01,Build and DelayCal,2026-02-24T18:06:53.997614,5.444166666666667,5.694166666666667,l,n/a,,0.25
7,20241126081929,SCI-20241101-HK-01,"Observations of an extremely metal-poor galaxy, J0845+0131, OB1b (on source 18000s) ",2026-02-24T18:21:53.997614,5.694166666666667,11.81861111111111,l,No,4.00-6.33,6.124444444444444
7,DelayCal,SCI-20241101-ZS-01,Build and DelayCal,2026-02-25T00:29:21.997614,11.81861111111111,12.06861111111111,u,n/a,,0.25
7,20241121033047,SCI-20241101-ZS-01,Teleios (UHF),2026-02-25T00:44:21.997614,12.06861111111111,19.898055555555555,u,No,11.67-13.17,7.829444444444444
8,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-25T13:10:14.997614,0.5,0.75,l,n/a,,0.25
8,20250116173308,SCI-20241101-KO-02,"NLTT 13728, SCR J0702, Gl 229B, HD 65216BC, AF Lep b, UPM J1055",2026-02-25T13:25:14.997614,0.75,6.249444444444444,l,No,0.50-6.00,5.499444444444444
8,DelayCal,SCI-20241101-HK-01,Build and DelayCal,2026-02-25T18:55:12.997614,6.249444444444444,6.499444444444444,l,n/a,,0.25
8,20241126061105,SCI-20241101-HK-01,"Observations of an extremely metal-poor galaxy, J1044+0353, OB2 (on source 18000s) ",2026-02-25T19:10:12.997614,6.499444444444444,12.54888888888889,l,No,6.08-9.42,6.049444444444444
8,DelayCal,SCI-20241101-ZS-01,Build and DelayCal,2026-02-26T01:13:10.997614,12.54888888888889,12.79888888888889,l,n/a,,0.25
8,20241121033022,SCI-20241101-ZS-01,Teleios (L-Band),2026-02-26T01:28:10.997614,12.79888888888889,20.62777777777778,l,No,11.67-13.42,7.828888888888889
8,DelayCal,SCI-20241101-MB-01,Build and DelayCal,2026-02-26T09:17:54.997614,20.62777777777778,20.87777777777778,l,n/a,,0.25
8,20241122134105,SCI-20241101-MB-01,CHEX-MATE South Clusters - III: Schedule PSZ2G155.27-68.42,2026-02-26T09:32:54.997614,20.87777777777778,7.105427357601002e-15,l,No,20.50-22.25,3.1222222222222253
9,DelayCal,SCI-20241101-PM-01,Build and DelayCal,2026-02-26T12:40:14.997614,0.0,0.25,l,n/a,,0.25
9,20241224030834,SCI-20241101-PM-01,A121790-part2 repeat,2026-02-26T12:55:14.997614,0.25,5.253888888888889,l,No,23.25-2.75,5.003888888888889
9,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-26T17:55:28.997614,5.253888888888889,5.503888888888889,l,n/a,,0.25
9,20250116184257,SCI-20241101-KO-02,"2MASS J10172, COCONUTS-3B, LHS 2065, 2MASS J10451, 2MASSW J1004, 2MASS J09130",2026-02-26T18:10:28.997614,5.503888888888889,10.986666666666666,l,No,4.00-8.50,5.482777777777778
9,DelayCal,SCI-20241101-VC-01,Build and DelayCal,2026-02-26T23:39:26.997614,10.986666666666666,11.236666666666666,l,n/a,,0.25
9,20241209110422,SCI-20241101-VC-01,Observation of the galaxy cluster Abell 2163,2026-02-26T23:54:26.997614,11.236666666666666,19.56527777777778,l,Yes,11.18-12.00,8.328611111111112
9,DelayCal,SCI-20241101-MB-01,Build and DelayCal,2026-02-27T08:14:09.997614,19.56527777777778,19.81527777777778,l,n/a,,0.25
9,20241122143544,SCI-20241101-MB-01,CHEX-MATE South Clusters - III: Schedule PSZ2G044.77-51.30,2026-02-27T08:29:09.997614,19.81527777777778,3.552713678800501e-15,l,No,18.25-20.02,4.184722222222224
10,DelayCal,SCI-20241101-PM-01,Build and DelayCal,2026-02-27T12:40:14.997614,0.0,0.25,l,n/a,,0.25
10,20241208151554,SCI-20241101-PM-01,A121790-part3,2026-02-27T12:55:14.997614,0.25,5.253611111111111,l,No,23.25-2.75,5.003611111111111
10,DelayCal,SCI-20241101-KO-02,Build and DelayCal,2026-02-27T17:55:27.997614,5.253611111111111,5.503611111111111,l,n/a,,0.25
10,20250225154720,SCI-20241101-KO-02,"CD-35 2722B,DENIS-P J082, WISE J072003, HIP 38939B, CWISE J0845, LHS 2026 repeat 2",2026-02-27T18:10:27.997614,5.503611111111111,10.928333333333333,l,No,1.58-7.00,5.424722222222222
10,DelayCal,SCI-20241102-MG-01,Build and DelayCal,2026-02-27T23:35:56.997614,10.928333333333333,11.178333333333333,l,n/a,,0.25
10,20241216114001,SCI-20241102-MG-01,Observations of atomic hydrogen  in the interacting system ESO179-013 (rising),2026-02-27T23:50:56.997614,11.178333333333333,17.57638888888889,l,Yes,10.00-12.00,6.398055555555556
10,DelayCal,SCI-20241101-HK-01,Build and DelayCal,2026-02-28T06:14:49.997614,17.57638888888889,17.82638888888889,l,n/a,,0.25
10,20241206083240,SCI-20241101-HK-01,"Observations of an extremely metal-poor galaxy, J2136+0414, OB1 (on source 22000s)  repeat",2026-02-28T06:29:49.997614,17.82638888888889,0.0,l,No,17.00-18.92,6.17361111111111
11,DelayCal,SCI-20241101-PM-01,Build and DelayCal,2026-02-28T12:40:14.997614,0.0,0.25,l,n/a,,0.25
11,20241202191652,SCI-20241101-PM-01,A121790-part1,2026-02-28T12:55:14.997614,0.25,5.250277777777778,l,No,23.25-2.75,5.000277777777778
11,DelayCal,SCI-20241101-PM-01,Build and DelayCal,2026-02-28T17:55:15.997614,5.250277777777778,5.500277777777778,l,n/a,,0.25
11,20241208152116,SCI-20241101-PM-01,A189096-part3,2026-02-28T18:10:15.997614,5.500277777777778,10.546944444444446,l,No,4.50-7.25,5.046666666666667
11,DelayCal,SCI-20241101-KS-01,Build and DelayCal,2026-02-28T23:13:03.997614,10.546944444444446,10.796944444444446,l,n/a,,0.25
11,20241215134449,SCI-20241101-KS-01,MeerKAT Postmerger Survey 4 (12/13h sources),2026-02-28T23:28:03.997614,10.796944444444446,16.35388888888889,l,No,9.00-11.00,5.5569444444444445
11,DelayCal,SCI-20241102-MG-01,Build and DelayCal,2026-03-01T05:01:28.997614,16.35388888888889,16.60388888888889,l,n/a,,0.25
11,20241216114915,SCI-20241102-MG-01,Observations of atomic hydrogen  in the interacting system ESO179-013 (setting),2026-03-01T05:16:28.997614,16.60388888888889,22.97861111111111,l,No,15.50-17.50,6.374722222222222
11,DelayCal,SCI-20241101-EO-01,Build and DelayCal,2026-03-01T11:38:57.997614,22.97861111111111,23.22861111111111,l,n/a,,0.25
11,20241120193350,SCI-20241101-EO-01,The self-similarity of cluster Bfields - Target4 - A399 early merger - 5hours,2026-03-01T11:53:57.997614,23.22861111111111,0.0,l,No,22.73-23.65,0.7713888888888878
12,DelayCal,SCI-20241101-PM-01,Build and DelayCal,2026-03-01T12:40:14.997614,0.0,0.25,l,n/a,,0.25
12,20241208151655,SCI-20241101-PM-01,A121790-part4,2026-03-01T12:55:14.997614,0.25,5.244166666666667,l,No,23.25-2.75,4.994166666666667
12,DelayCal,SCI-20241102-AC-01,Build and DelayCal,2026-03-01T17:54:53.997614,5.244166666666667,5.494166666666667,l,n/a,,0.25
12,20241210183744,SCI-20241102-AC-01,HI in He 2-10 epoch 2,2026-03-01T18:09:53.997614,5.494166666666667,11.988055555555555,l,No,2.67-5.50,6.493888888888889
12,DelayCal,SCI-20241102-AP-01,Build and DelayCal,2026-03-02T00:39:31.997614,11.988055555555555,12.238055555555555,l,n/a,,0.25
12,20241129143405,SCI-20241102-AP-01,Jellyfish galaxies (1x5) pt.1,2026-03-02T00:54:31.997614,12.238055555555555,18.693055555555553,l,No,11.50-13.00,6.455
12,DelayCal,SCI-20241102-MB-01,Build and DelayCal,2026-03-02T07:21:49.997614,18.693055555555553,18.943055555555553,l,n/a,,0.25
